epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,8909.08,0.76208,0.88687,1.13768,0.79773,0.68022,0.75019,0.63157,0.6925,0.83079,1.09835,0.00237036,0.00237036,0.00237036
108,8991.24,0.75452,0.88619,1.1336,0.7774,0.69431,0.75198,0.63253,0.68511,0.8163,1.09268,0.00236442,0.00236442,0.00236442
109,9073.51,0.75609,0.86372,1.13142,0.78204,0.69834,0.75603,0.63548,0.68205,0.81496,1.08956,0.00235848,0.00235848,0.00235848
110,9156.12,0.75386,0.87496,1.13392,0.77377,0.69839,0.75455,0.63326,0.68064,0.80906,1.09089,0.00235254,0.00235254,0.00235254
111,9239.16,0.74488,0.85942,1.12549,0.7413,0.71284,0.75558,0.63347,0.68254,0.81006,1.09313,0.0023466,0.0023466,0.0023466
112,9321.53,0.74219,0.86871,1.13299,0.76077,0.70691,0.76018,0.63757,0.67805,0.80316,1.08797,0.00234066,0.00234066,0.00234066
113,9403.75,0.74821,0.86531,1.13206,0.80202,0.69581,0.7625,0.63872,0.67809,0.80296,1.08919,0.00233472,0.00233472,0.00233472
114,9486.67,0.75682,0.86241,1.12554,0.80282,0.68817,0.76053,0.6402,0.68437,0.79573,1.09411,0.00232878,0.00232878,0.00232878
115,9569.33,0.74963,0.85834,1.12885,0.79282,0.69507,0.75801,0.63683,0.69105,0.79838,1.09656,0.00232284,0.00232284,0.00232284
116,9651.58,0.7387,0.82425,1.12213,0.80593,0.68526,0.76001,0.63872,0.67767,0.79691,1.08518,0.0023169,0.0023169,0.0023169
117,9733.58,0.74618,0.84784,1.12528,0.77287,0.69098,0.75571,0.63629,0.6779,0.80652,1.08516,0.00231096,0.00231096,0.00231096
118,9815.3,0.73638,0.84027,1.11721,0.77963,0.70163,0.75997,0.63946,0.67769,0.79201,1.08919,0.00230502,0.00230502,0.00230502
119,9897.54,0.74333,0.84732,1.12007,0.7789,0.70317,0.75609,0.6358,0.67549,0.78829,1.08684,0.00229908,0.00229908,0.00229908
120,9979.51,0.73438,0.82534,1.12025,0.81252,0.68419,0.75801,0.63767,0.67138,0.78797,1.0831,0.00229314,0.00229314,0.00229314
121,10062.2,0.73417,0.83363,1.11418,0.81809,0.67908,0.75893,0.63954,0.66787,0.78058,1.07846,0.0022872,0.0022872,0.0022872
122,10145,0.72226,0.81791,1.11058,0.80784,0.68572,0.75955,0.64117,0.67045,0.78314,1.07857,0.00228126,0.00228126,0.00228126
123,10228.2,0.74368,0.84206,1.12149,0.81018,0.68084,0.76174,0.64303,0.67274,0.78146,1.08356,0.00227532,0.00227532,0.00227532
124,10311.7,0.72803,0.83025,1.11836,0.82791,0.67653,0.76264,0.64332,0.67349,0.78191,1.0835,0.00226938,0.00226938,0.00226938
125,10396.2,0.72198,0.82239,1.11399,0.83427,0.67057,0.76001,0.64335,0.67606,0.78016,1.08625,0.00226344,0.00226344,0.00226344
